
bolsonaro..
tipico;7
"moralista;7
direita"
apoiou;7
..
nao;7
vote...
https://t.co/…;7
@uol:;13
|;24
qualquer;41
sigla;9
https://t.co/wiuihl5jj4;9
https://t.co/yjageltekl;9
colocaram;1
cartaz;1
perto;2
minha;14
casa;3
mta;1
alheia;1
“pau;13
cu;57
https://t.co/nnemunxuxu;13
@educassales:;1
qdo;5
vaiado;17
revogar;2
trab;1
@livreparaescolh:;1
@uol;3
"bancada;1
sigla"

você;1
acredita;10
conseguirá;1
gover…;1
@larampignaton:;9
me;29
es;9
https://t.co/478mf2yc12;9
pergunta;7
tocou;1
assunto;2
‘votar’;1
-eleições-,;1
crucial;1
importância…;1
@clovisartur1:;1
#bolsonaropresidente;14
votem;2
espalhem!;1
https://t.co/ft1fh0pajm;1
@jovensreacinhas:;2
política;10
industrial?;2

-armas;2
hoje,;3
armas;4
amanhã,;2
sempre!;2
vamos;7
fabricar,;2
vender;4
comp…;2
projeto,;1
vem;5
gente!!
#bolsonaropresidente;1
https://t.co/ab4ppvzxmc;1
@julourencini7;1
eu;96
pensei;3
era;5
só;51
celebra;14
fim;29
roubo;14
imposto;14
sindical;14
obrigatório;14
os;253
demais;16
silenciam.;14
será?;14
https://t.co/ngd…;14
vice;9
incógnita;2
https://t.co/1k3kwusdmq;1
@oisouoraul:;1
"a;1
culpa;1
pm;1
ta;9
virando;1
gay;3
ter;132
dar;14
enquadro;1
nesses;1
bandidos;1
maravilhosos"

bolsonaro,;1
controlar;2
aumentando;1
ministros;14
https://t.co/kwvflhbono;1
ano;8
2020,;2
eleito,;4
trabalham;2
mais,;2
campos;2
concentrações;2
foram;2
criados;2
lgbt's;2
https://t.co/m7ne920buu;1
pede;3
licençamaternidade...mentira.

o;3
quis;6
estender,;3
inclusive;4
militares;8
@pastorliomar:;14
mortadela;10
perde;11
narrativa;10
ele.

já;10
perderam…;10
@newsatual2017:;32
câmara
https://t.co/khg12wvm3l;32
@mendesonca:;4
este;4
estado;4
decomposição?procurador;2
ofende;3
supremo,;6
envenenada,;3
bolsonaro
https://t.co/ggpk4kkj…;2
vou;31
bolsonaro?;12
https://t.co/lhbpqxcqhs;1
olha,;1
dá;17
mais.;3
racista,;4
homofóbico;5
machista.;1
jogue;1
lixo.;1
acha;8
msm;2
gay…;1
https://t.co/vyyprxnlx0;1
verei;1
esquerdalha;1
falando;17
verdade;27
mesmas;2
mentiras,;1
fake…;1
https://t.co/kvudnhemgn;1
@rafaa_trindade:;6
@webdivaluiza;6
ficamos;6
maconha;8
temer;9
amei;6
@tarik_mohad:;14
conseguiu;8
maia;4
parlamentares,;3
aceitaram;3
apoia-lo;3
toma;6
lá;12
cá,;2
colocarmos…;2
#euacredito;3
vencer;3
copa;3
julho;3
outubro.;5
@estranhosemnome:;10
fatia;10
parlamento,;8
forças;8
armadas,;8
policias,;8
industria,;8
mercado;10
uns…;8
grande;11
cristãos;1
trazer;1
"costumes;1
cristãos";1
pro;13
brasil.;6
quem…;1
https://t.co/xsjwyhfkoz;1
@palmeriodoria:;6
industriais;8
aplaudiram;8
hoje;46
descendentes;6
linha;12
direta;6
daqueles;7
turbinaram;6
maq…;6
@davicqueiroz:;2
cirão;2
comete;1
ato;2
racismo,;2
“homofobia”,;1
machismo,;2
desrespeito;1
claro;38
velhos;2
fila;2
hospital,;1
mente…;1
@loveyrselff:;3
pai:;3


“bolsonaro;3
cérebros;3
(pessoas;3
mt;6
inteligentes);3
saindo;3
pq;20
n;11
possuem;3
pr…;3
"pelotas;42
polo;42
exportador;42
viado"
lula

"vou;42
encher;42
dele;47
(doria);42
areia"
ciro;42
gomes

"um;42
negro;42
gordo;42
atacar…;42
@esquerdada;1
@valescaoficial;1
@redetv;2
@daniredetv;1
@cuvermelho;1
negócio;2
seguinte,;1
fosse;12
tivesse…;1
https://t.co/ucv9vzvb7r;1
@tiago75oliveira;1
mano;1
aguentei;1
qnd;1
vi;7
https://t.co/kyacnt2l7a;1
usando;3
imagens;2
ridiculariza-lá...mentira.

se;2
@jairbolsonaro;47
tivesse;8
fil…;2
@quebrandootabu;1
@zehdeabreu;1
frete;1
baixo.;2
@gabidoceu;1
gabi;1
43,5%;1
intenções;2
bahia;1
psl;35
presidência,;31
#brasil;32
denunciam;31
malefíc…;1
https://t.co/uiah55wbm6;1
bolsonaro:;27
“politicamente;14
correto;19
tática;14
esquerdista;16
controle”;14
https://t.co/sf7ibdsbda;7
verdades;10
processo;6
coleção;6
rotineira;6
descont…;6
malefícios;30
ger…;30
@brunogagliasso;5
isso;21
vale;5
@anacronices:;6
propor;12
rever;6
gerou;6
desemprego;6
recorde.;6
ovacionado;8
d…;9
@rosebarros__:;17
peso
👏👏👏;4
https://t.co/joxtnem4ab;4
ouvindo;1
dizer;11
https://t.co/gjjspo8fof;1
@fernandatanaka_:;3
bruno;12
gagliasso;9
sentar;3
luta;3
ufc;3
embora,;3
disse:;3
"coerência,;3
is…;3
alerta;1
!!!;87
medo;25
bolsonaro

https://t.co/2lmx6hu3nv;1
eis;1
certa;1
chega;3
p;8
mim;4
diz:;1
pois;15
favor;6
porte;7
arma;5
@bolsonarosp;34
eduardo;37
convoca;30
nação;30
conservadora;34
delegado;30
francischini;30
prêmio;30
congres…;30
@thiagogdearagao:;1
nada;7
nem;26
esquerda;26
comportamentos;1
visam;1
antagonizar;1
@ilisp_org:;1
pcdob;1
manuela;10
unem;1
eleger;8
prefeito;2
em mg;1
https://t.co/itaukqxfp1;1
https://t.co/qm6gmhcpzn;1
@robertaandradee:;1
terço;32
twitter;55
robôs,;49
aponta;50
estudo;36
https://t.co/ofcy9gqzax;1
fantástica...;1
primeiras;1
medidas;1
governo;8
.;10
https://t.co/frzsxup6qp;1
'meu;1
bolsonaro',;20
janaina;1
paschoal;1
https://t.co/g4qulafxec;1
@jeverso07957834:;39
olavo;55
seremos;47
socialista;47
pouco;52
tem…;39
alta;1
rejeição;5
justifica;1
discurso,;1
dizem;5
especialistas;1
@estadao:;1
https://t.co/vqwxpszpz4;1
@ricamconsult;4
tera;1
abacaxi;1
mãos,;1
econômica;4
dará;1
jeito!;1
@telesurbrasil;1
central;2
enrustido;1
onde;9
diz…;1
https://t.co/wrpqxtrsvm;1
@miih_pp:;1
"hipocrisia;1
mato,;1
homofobia;1
mata,;1
ces;1
mata;2
nome;5
jesus;2
bando;3
bolsonaro";11
♪;1
guerreira;6
declara;6
explica;6
suas;22
razões!;6
https://t.co/vhusm49tsl;6
provoca;1
pane;1
stf,;1
afirma;1
https://t.co/3zyajklfv6;1
mdb,;1
meirelles,;1
alckimin,;1
ciro,;3
marina,;4
rocha,;1
skaff;1
têm;1
comum,;1
econ;1
temer,quero;1
qd…;1
https://t.co/rxntrohi60;1
@anarcomiguxos5:;1
caindo;2
tanto;3
passar;3
chamá-lo;1
neymar.;1
segundo;39
tudo;12
robô!;1
kkkkkkkkkkk...;1
chora;1
maldita!;1
messias;20
2018!;3
https://t.co/yc3vtdanmi;1
@marioscand:;3
https://t.co/4wzbgxka0n;3
esses;5
youtubers,;1
"ain;1
mudei";1
https://t.co/9jlxkqgjdv;1
@radardf_;1
espalha;1
notícia;6
falsa.;1
reafirma;14
candidatura;9
@genpaulochagas;2
https://t.co/5cbbr4mrii;1
https://t.co/c9qffeeasv;1
the;8
noite;3
(20/03/17);1
400;66
instituto;2
internetlab
https://t.co/c9mgkgazmg;1
preparem;1
intervir;1
caso;24
ganhe.;1
democrata;1
cumpridor;1
constituição.;1
https://t.co/quiwd7zxec;22
cni/ibope:;1
rejeitado;1
fronteira;1
news;46
https://t.co/kv6oowptxk;1
será;50
muralhas;1
impedirá;1
puder;1
direita.;1
verdadeiro;1
infern…;1
https://t.co/lfxfiuefo3;1
@franciscomacsoa:;9
pesquisa;9
presidencial

;1
vencerá;1
eleições:;1
odeio;3
juro;2
cansei;1
dedicar;1
vida;7
memes;1
@simonerj_br:;6
câmara!;6
😎;6
https://t.co/ye8…;6
@fcomontec:;1
eleitores;19
indo;3
tirar-lo;2
banheiro;11
https://t.co/uxvyptttzt;1
@em_com;1
engraçado...;1
saiu;4
evento;9
vê;5
sempre;8
i;1
racismo;1
sofrido…;1
https://t.co/dnbzmatgjx;1
@kakahenriques1:;1
a…;16
@olavinha88:;7
galera;9
hora;9
começarmos;7
mandar;8
tuítes;7
filhos;8
bolsominions;12
islâmicos;7
co…;10
aq;1
tbm;3
pessoas;16
fazem;9
recepção;7
pisa;7
num;14
aeroporto.

silêncio;7
mídia

uma;7
xin…;7
@nopontodofato:;3
cni:

“se;3
chegar;10
[na;3
presidência],;3
colocar;4
generais;5
ministérios.;3
probl…;3
kkkkkkkkkkkkkkk;1
to;3
gastando;1
https://t.co/0xbeinpeau;1
@kmemxs:;1
for;51
eleito;10
cenas;1
serão;14
comuns;1
https://t.co/klv5sx0fku;1
ovacionado,;8
vaiado.;1
eles;26
merecem!;1
#jornaldajoice;1
https://t.co/vu7syoedfy;1
#eleições2018;1
#bolsonaroneles;1
@clauwild1:;33
"episódio;33
aeroporto”;33
envolvendo;33
deixa;80
disseminadora;33
fake;73
t…;34
votou...
-contra;2
trabalhadores;5
reforma
-pelo;2
congelamento;2
investimentos;2

-pela;2
entrega;2
pre;2
-sal
-pela…;2
@o_antagonista:;11
“não;2
turno”;2
https://t.co/nst2e7hfsh;2
@elorenzeti2017;1
besteira,;1
nacionalista;1
hitler,;1
patriota😂😂😂;1
@oglobopolitica:;2
critica;6
promete;3
ministérios;5
https://t.co/ovbvexwrrr;1
https://t.co/ta0itbxjwa;1
@mikapiche;1
@burunnno;1
bloqueia;1
palavras;2
silencia;1
perfis;26
maus;1
chatos.;1
tranquilo.;1
@cibelyn_;1
motorista;1
lamber;1
bolas;1
prefiro;3
andar;1
@rrangelcm:;6
https://t.co/8ckxj9ycue;6
comício;1
😂😂😂😂;1
https://t.co/ir1fgg6raw;1
adicionei;3
playlist;3
https://t.co/cewnvmmg33ê;1
acreditar;10
fez;8
@f_gsantos;1
@luiz15434099;1
hahaha,o;1
deles,aí;1
vão;11
caçando;1
bem;8
ranquiado…;1
https://t.co/tmplsy3h9v;1
@rede45;2
imagem;2
psdb

#bolsonaro;1
https://t.co/jin1uw6ddt;1
@edgaarcia:;11
loucura;11
17:;1
revogação;1
estatuto;6
desarmamento;8
aprovação;1
posse;1
cidadãos;1
alg…;13
@coachsandrolima:;2
merece;4
perdoado;2
afinal;2
mudam;3
...;16
falado;3
@amel43;1
@jjcarlossouza;1
mostre;1
corruptos.;2
tentem;1
comparar;2
https://t.co/lhdi0jopxc;1
13:;2
rediscução;2
tratados;2
econômicos,;2
tais;2
mercosul;2
busca;2
relações;2
econômicas;2
bilaterai…;2
14:
transparência;2
~&gt;;2
cá;3
acordos;3
feitos;2
luz;3
dia;;2
@georgmarques:;1
questionado;1
conseguiria;8
governar,;7
eleito.;1
cita;1
conseguir;3
acabar;2
ideologia;2
g…;1
@carteiroreaca:;11
3...2...1...:

a;6
galerinha;6
articulação;9
projetos…;6
15:;1
externa;1
voltada;1
fora;3
permissiva.;1
soberania;1
voltará;1
coisa;7
mai…;2
decidiu;4
presidente,;4
precisa;12
entender;8
tão;13
importante;4
quanto;6
isso,;9
em…;7
16:;1
criação;1
programa;3
primeira;1
empresa,;1
moldes;1
primeiro;12
emprego,;1
foco;3
incentivar;1
no…;4
sou;30
eleitora;1
guarapari,;1
es,;1
fui;3
incluída;1
consegue;4
lógica;1
patrão;1
depende;2
funcionário,;1
indústrias;1
sem…;2
https://t.co/cjyk2lv8rp;1
tapando;5
buraco;5
desarmamento!
projeto;5
co-autoria;5
bolsonaro!…;5
@ricamconsult:;3
pré-candidatos;3
+;8
seguidos;5
twitter,;4
1,5;3
milhão;3
seus;94
parecem;3
ro…;3
sabatina;144
declarou:

"tenho;3
dito;6
nomear;3
alguns;11
generais,;3
coron…;3
@r_terouinard:;1
@exame;5
@brina_gugli;1
#bolsonaro;9
presidente!;1
#bolsonaro2018;2
@shiwinha:;1
branca;3
piadas;4
negros;;2
veja;3
https://t.co/udn1k9zhno;1
@brsemcomunas:;7
quiser!
#fechadocombolsonaro
o;5
inimigo;17
podre.
comunistas;7
imundos;7
desgraça!;5
https://t.co/…;12
liderança;2
deputados:

pt-;2
deputados
mdb-50;2
deputados
apoiadores;2
bolsonaro-110;2


*;2
bols…;3
@lausoffia:;1
trocaria;1
tiraria;1
botaria;1
áudios;1
guto;1
https://t.co/tkzfexezqw;1
https://t.co/kpinxkbmgg;1
@carlosbolsonaro;5
votos;13
família;2
realmente;4
aconteceu;2
abordando;1
lamentável;2
dessa;5
senho…;1
https://t.co/ebjcfmavj4;1
@milena_batata:;23
bolsonaro...;27
semideuses;26
sim
(como;23
cabe;24
tanta;25
ignorância;23
cabeça;24
desse;25
homem...);23
